year,avg_temp
1855,10.20
1856,12.01
1857,12.06
1858,12.13
1859,12.39
1860,12.07
1861,11.89
1862,11.65
1863,11.49
1864,12.00
1865,12.43
1866,12.31
1867,12.17
1868,12.15
1869,12.01
1870,11.87
1871,11.68
1872,11.69
1873,12.27
1874,12.06
1875,11.92
1876,12.39
1877,12.91
1878,12.50
1879,12.71
1880,12.56
1881,12.12
1882,12.35
1883,11.99
1884,11.93
1885,11.62
1886,12.05
1887,12.02
1888,12.34
1889,11.54
1890,12.12
1891,12.40
1892,12.00
1893,12.09
1894,12.31
1895,12.35
1896,12.97
1897,12.44
1898,11.76
1899,12.91
1900,12.68
1901,12.61
1902,12.37
1903,12.13
1904,12.94
1905,12.66
1906,12.53
1907,12.02
1908,12.55
1909,12.20
1910,11.78
1911,12.33
1912,12.52
1913,12.87
1914,12.40
1915,12.31
1916,11.91
1917,12.67
1918,12.19
1919,12.76
1920,12.47
1921,12.10
1922,12.41
1923,11.99
1924,12.46
1925,12.31
1926,12.77
1927,12.53
1928,12.31
1929,12.38
1930,13.29
1931,12.71
1932,12.83
1933,12.34
1934,12.44
1935,12.89
1936,12.53
1937,12.53
1938,12.09
1939,12.93
1940,13.08
1941,12.65
1942,12.73
1943,13.14
1944,13.15
1945,13.24
1946,12.70
1947,12.75
1948,12.58
1949,12.75
1950,12.62
1951,13.10
1952,13.21
1953,12.81
1954,12.61
1955,12.32
1956,12.49
1957,12.85
1958,12.90
1959,12.59
1960,13.15
1961,12.73
1962,13.10
1963,12.81
1964,12.72
1965,13.00
1966,12.54
1967,12.51
1968,13.14
1969,12.65
1970,12.70
1971,12.52
1972,12.87
1973,12.40
1974,12.38
1975,12.70
1976,12.57
1977,13.47
1978,13.34
1979,13.04
1980,13.29
1981,13.23
1982,13.34
1983,13.00
1984,12.57
1985,13.35
1986,13.04
1987,13.53
1988,12.81
1989,13.23
1990,12.88
1991,13.00
1992,12.93
1993,13.26
1994,13.42
1995,13.02
1996,13.16
1997,13.66
1998,13.19
1999,13.24
2000,12.99
2001,13.16
2002,12.95
2003,13.24
2004,13.44
2005,13.06
2006,13.19
2007,12.31
2008,13.69
2009,13.04
2010,12.69
2011,13.25
2012,13.48
2013,13.07
