year,avg_temp
1855,2.57
1856,5.00
1857,5.10
1858,5.10
1859,5.60
1860,5.25
1861,4.84
1862,4.79
1863,4.51
1864,4.99
1865,5.45
1866,5.35
1867,5.07
1868,5.26
1869,4.95
1870,4.84
1871,4.65
1872,4.82
1873,5.21
1874,4.76
1875,5.01
1876,5.74
1877,6.34
1878,5.59
1879,5.90
1880,5.83
1881,5.17
1882,5.47
1883,5.10
1884,5.11
1885,4.74
1886,5.17
1887,5.41
1888,5.70
1889,4.51
1890,5.16
1891,5.57
1892,4.99
1893,4.97
1894,5.34
1895,5.54
1896,6.26
1897,5.69
1898,4.88
1899,5.93
1900,5.94
1901,5.78
1902,5.83
1903,5.44
1904,5.68
1905,5.66
1906,5.76
1907,5.11
1908,5.56
1909,5.27
1910,5.14
1911,5.19
1912,5.73
1913,6.23
1914,5.52
1915,5.78
1916,5.29
1917,5.56
1918,5.50
1919,5.91
1920,5.68
1921,5.27
1922,5.18
1923,5.07
1924,5.42
1925,5.83
1926,6.09
1927,5.78
1928,5.30
1929,5.76
1930,6.23
1931,5.48
1932,5.92
1933,5.58
1934,5.28
1935,5.77
1936,5.62
1937,5.65
1938,5.30
1939,5.95
1940,5.74
1941,5.50
1942,5.39
1943,5.74
1944,6.33
1945,6.29
1946,5.81
1947,5.92
1948,5.62
1949,5.63
1950,5.71
1951,6.04
1952,6.09
1953,6.00
1954,5.41
1955,5.11
1956,4.94
1957,5.74
1958,5.89
1959,5.64
1960,6.20
1961,6.16
1962,5.98
1963,5.63
1964,5.64
1965,6.05
1966,5.60
1967,5.71
1968,6.12
1969,6.39
1970,6.06
1971,5.87
1972,5.82
1973,5.53
1974,5.53
1975,5.71
1976,5.54
1977,6.55
1978,6.32
1979,5.91
1980,6.30
1981,6.31
1982,6.44
1983,5.89
1984,5.55
1985,6.34
1986,6.49
1987,6.40
1988,6.01
1989,6.59
1990,6.11
1991,6.37
1992,5.97
1993,6.16
1994,6.70
1995,6.40
1996,6.26
1997,6.80
1998,6.28
1999,5.93
2000,5.95
2001,6.41
2002,6.25
2003,6.77
2004,6.32
2005,6.22
2006,6.84
2007,5.51
2008,6.57
2009,6.70
2010,6.13
2011,6.27
2012,6.82
2013,5.94
